record_id,Name,Slug,Description,Full hierarchy,Icon,Image,parent_id_for_import,listing_type_corrected
17425,01. Accommodation,accommodation,,01. Accommodation,,,0,Businesses & Services
17426,02. Food & Beverage,food-beverage,,02. Food & Beverage,,,0,Businesses & Services
17259,Butcher shop,butcher-shop-food-beverage,,02. Food & Beverage > Butcher shop,,,17426,Businesses & Services
13036,Cafés & Bakeries,cafes-bakeries,,02. Food & Beverage > Cafés & Bakeries,,,17426,Businesses & Services
332,Cafe,cafe,,02. Food & Beverage > Cafés & Bakeries > Cafe,,https://visita.co.za/wp-content/uploads/2023/05/itav89tnkks.jpg?wpId=53103,13036,Businesses & Services
2950,Cafeteria,cafeteria,,02. Food & Beverage > Cafés & Bakeries > Cafeteria,,,13036,Businesses & Services
325,Cake Shop,cake-shop,,02. Food & Beverage > Cafés & Bakeries > Cake Shop,,https://visita.co.za/wp-content/uploads/2023/05/nrtwpgpvdaw.jpg?wpId=53017,13036,Businesses & Services
330,Coffee Shop,coffee-shop,,02. Food & Beverage > Cafés & Bakeries > Coffee Shop,,https://visita.co.za/wp-content/uploads/2023/05/ygb2igkldyg.jpg?wpId=45137,13036,Businesses & Services
2451,Cupcake Shop,cupcake-shop,,02. Food & Beverage > Cafés & Bakeries > Cupcake Shop,,,13036,Businesses & Services
2098,Donut Shop,donut-shop,,02. Food & Beverage > Cafés & Bakeries > Donut Shop,,,13036,Businesses & Services
4896,Espresso Bar,espresso-bar,,02. Food & Beverage > Cafés & Bakeries > Espresso Bar,,,13036,Businesses & Services
2455,Pastry Shop,pastry-shop,,02. Food & Beverage > Cafés & Bakeries > Pastry Shop,,,13036,Businesses & Services
2491,Pie Shop,pie-shop,,02. Food & Beverage > Cafés & Bakeries > Pie Shop,,,13036,Businesses & Services
13079,Catering & Food Services,catering-food-services,,02. Food & Beverage > Catering & Food Services,,,17426,Businesses & Services
1943,Wedding Buffet,wedding-buffet,,02. Food & Beverage > Catering & Food Services > Wedding Buffet,,,13079,Businesses & Services
17427,03. Retail & Shops,retail-shops,,03. Retail & Shops,,,0,Businesses & Services
17428,04. Health & Wellness,health-wellness,,04. Health & Wellness,,,0,Businesses & Services
13963,Alternative & Holistic Medicine,alternative-holistic-medicine,,04. Health & Wellness > Alternative & Holistic Medicine,,,17428,Businesses & Services
6018,Chinese Medicine Clinic,chinese-medicine-clinic,,04. Health & Wellness > Alternative & Holistic Medicine > Chinese Medicine Clinic,,,13963,Businesses & Services
4909,Homeopath,homeopath,,04. Health & Wellness > Alternative & Holistic Medicine > Homeopath,,https://visita.co.za/wp-content/uploads/2024/07/Homeopath.jpg?wpId=181242,13963,Businesses & Services
6438,Hypnotherapy Service,hypnotherapy-service,,04. Health & Wellness > Alternative & Holistic Medicine > Hypnotherapy Service,,,13963,Businesses & Services
6078,Kinesiologist,kinesiologist,,04. Health & Wellness > Alternative & Holistic Medicine > Kinesiologist,,,13963,Businesses & Services
6016,Naturopathic Practitioner,naturopathic-practitioner,,04. Health & Wellness > Alternative & Holistic Medicine > Naturopathic Practitioner,,,13963,Businesses & Services
5947,Reflexologist,reflexologist,,04. Health & Wellness > Alternative & Holistic Medicine > Reflexologist,,,13963,Businesses & Services
5102,Reiki Therapist,reiki-therapist,,04. Health & Wellness > Alternative & Holistic Medicine > Reiki Therapist,,https://visita.co.za/wp-content/uploads/2024/07/Reiki-therapist.jpg?wpId=181374,13963,Businesses & Services
17429,05. Automotive & Transport,automotive-transport,,05. Automotive & Transport,,,0,Businesses & Services
17430,06. Finance & Legal,finance-legal,,06. Finance & Legal,,,0,Businesses & Services
