record_id,Hierarchy,Status,Name,Slug,Parent,Count,Description,Taxonomy,"Full hierarchy","Old Platform ID",View,Icon,"Listings Full Count","Custom Landing Page (optional)","Icon Option","Icon 2",Color,"Text Color","Seopress Redirections Type",Image,"Seopress Redirections Logged Status","Listing Type(s)"
17425,0,active,"01. Accommodation",accommodation,0,0,,job_listing_category,"01. Accommodation",,https://visita.co.za/category/accommodation/,,,,icon,,,,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
17426,0,active,"02. Food & Beverage",food-beverage,0,0,,job_listing_category,"02. Food & Beverage",,https://visita.co.za/category/food-beverage/,,"{""businesses-services"":2127,""community-spaces"":1}",,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
17259,1,active,"Butcher shop",butcher-shop-food-beverage,"02. Food & Beverage",0,,job_listing_category,"02. Food & Beverage > Butcher shop",,https://visita.co.za/category/butcher-shop-food-beverage/,,,,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
13036,1,active,"Cafés & Bakeries",cafes-bakeries,"02. Food & Beverage",2,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries",,https://visita.co.za/category/cafes-bakeries/,,"{""businesses-services"":2118,""community-spaces"":1}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
332,2,active,Cafe,cafe,"Cafés & Bakeries",723,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Cafe",,https://visita.co.za/category/cafe/,,"{""businesses-services"":723}",,icon,"mi local_cafe",#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2023/05/itav89tnkks.jpg?wpId=53103,,"Businesses & Services, All Businesses & Spaces"
2950,2,active,Cafeteria,cafeteria,"Cafés & Bakeries",10,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Cafeteria",,https://visita.co.za/category/cafeteria/,,"{""businesses-services"":10}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
325,2,active,"Cake Shop",cake-shop,"Cafés & Bakeries",173,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Cake Shop",,https://visita.co.za/category/cake-shop/,,"{""businesses-services"":173}",,icon,"mi cake",#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2023/05/nrtwpgpvdaw.jpg?wpId=53017,,"Businesses & Services, All Businesses & Spaces"
330,2,active,"Coffee Shop",coffee-shop,"Cafés & Bakeries",1386,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Coffee Shop",,https://visita.co.za/category/coffee-shop/,,"{""businesses-services"":1385,""community-spaces"":1}",,icon,"fa fa-coffee",#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2023/05/ygb2igkldyg.jpg?wpId=45137,,"Businesses & Services, All Businesses & Spaces"
2451,2,active,"Cupcake Shop",cupcake-shop,"Cafés & Bakeries",34,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Cupcake Shop",,https://visita.co.za/category/cupcake-shop/,,"{""businesses-services"":34}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
2098,2,active,"Donut Shop",donut-shop,"Cafés & Bakeries",27,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Donut Shop",,https://visita.co.za/category/donut-shop/,,"{""businesses-services"":27}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
4896,2,active,"Espresso Bar",espresso-bar,"Cafés & Bakeries",20,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Espresso Bar",,https://visita.co.za/category/espresso-bar/,,"{""businesses-services"":20}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
2455,2,active,"Pastry Shop",pastry-shop,"Cafés & Bakeries",14,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Pastry Shop",,https://visita.co.za/category/pastry-shop/,,"{""businesses-services"":14}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
2491,2,active,"Pie Shop",pie-shop,"Cafés & Bakeries",26,,job_listing_category,"02. Food & Beverage > Cafés & Bakeries > Pie Shop",,https://visita.co.za/category/pie-shop/,,"{""businesses-services"":26}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
13079,1,active,"Catering & Food Services",catering-food-services,"02. Food & Beverage",0,,job_listing_category,"02. Food & Beverage > Catering & Food Services",,https://visita.co.za/category/catering-food-services/,,"{""businesses-services"":12}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
1943,2,active,"Wedding Buffet",wedding-buffet,"Catering & Food Services",12,,job_listing_category,"02. Food & Beverage > Catering & Food Services > Wedding Buffet",,https://visita.co.za/category/wedding-buffet/,,"{""businesses-services"":12}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
17427,0,active,"03. Retail & Shops",retail-shops,0,0,,job_listing_category,"03. Retail & Shops",,https://visita.co.za/category/retail-shops/,,,,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
17428,0,active,"04. Health & Wellness",health-wellness,0,0,,job_listing_category,"04. Health & Wellness",,https://visita.co.za/category/health-wellness/,,"{""businesses-services"":168}",,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
13963,1,active,"Alternative & Holistic Medicine",alternative-holistic-medicine,"04. Health & Wellness",0,,job_listing_category,"04. Health & Wellness > Alternative & Holistic Medicine",,https://visita.co.za/category/alternative-holistic-medicine/,,"{""businesses-services"":168}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
